Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,96.27,-69.75,0,top
C2,0.1uF,C_0402_1005Metric,96.5994,-70.7557,0,top
C3,0.1uF,C_0402_1005Metric,93,-64.77,90,top
C4,0.1uF,C_0402_1005Metric,92,-64.52,90,top
C5,0.1uF,C_0402_1005Metric,97.52,-74.5,0,top
C6,0.1uF,C_0402_1005Metric,85.8605,-74.9253,180,top
C7,0.1uF,C_0402_1005Metric,95.75,-68.23,90,top
C8,0.1uF,C_0402_1005Metric,93.5,-79.45,-90,top
C9,0.1uF,C_0402_1005Metric,86.75,-69.25,180,top
C10,1uF,C_0402_1005Metric,94.75,-68.23,90,top
C11,0.1uF,C_0402_1005Metric,94.5,-79.47,-90,top
C12,0.1uF,C_0402_1005Metric,91,-63.5,90,top
C13,10uF,C_0603_1608Metric,87.975,-52.75,180,top
C14,10uF,C_0603_1608Metric,88.475,-58.6125,180,top
C15,33pF,C_0402_1005Metric,93.3484,-81.6405,-90,top
C16,33pF,C_0402_1005Metric,88.1819,-81.6523,90,top
C17,0.1uF,C_0402_1005Metric,89.575,-64,0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,91.68,-46.4,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,82.61,-45.37,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,100.39,-45.37,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,88.96,-93.39,90,top
R1,5.1K,R_0402_1005Metric,93.25,-52.74,-90,top
R2,5.1K,R_0402_1005Metric,90,-53,-90,top
R3,27,R_0402_1005Metric,93.4709,-67.3704,90,top
R4,27,R_0402_1005Metric,92.25,-67.3665,90,top
R5,1K,R_0402_1005Metric,91.9497,-79.5563,180,top
R6,1K,R_0402_1005Metric,95.99,-63.25,180,top
R7,10K,R_0402_1005Metric,87.74,-64,180,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,95.25,-60,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,91.5,-73.5,0,top
U2,MCP1700x-330xxTT,SOT-23-3,88.3625,-55.6125,90,top
U3,W25Q16JVZPIQ_TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,88.325,-65.75,0,top
Y1,12_Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,90.75,-81.85,180,top
